Client,Project,Qnt_Bugs,Qnt_TC_Release,Qnt_TC_SW,Qnt_Bugs_Client
1,1,14,755,1375,4
1,1,52,1399,1375,9
1,1,23,620,1375,3
1,1,9,285,1375,6
1,1,2,104,1375,70
1,3,34,372,372,0
1,2,23,301,547,6
1,2,8,153,547,13
1,2,47,282,547,7
1,2,42,290,547,5
1,2,28,242,547,13
1,2,23,227,547,5
1,2,8,547,547,2
1,4,8,61,298,1
1,4,6,180,298,6
1,4,39,181,298,2
1,4,19,209,298,10
1,4,11,195,298,8
2,5,6,468,756,3
2,5,8,474,756,1
2,5,0,10,756,0
2,5,1,136,756,0
2,5,1,64,756,4
2,5,2,72,756,4
2,5,0,7,756,1
2,5,3,65,756,3
2,5,11,302,756,1
2,5,1,40,756,1
2,5,10,464,756,3
2,5,1,128,756,0
2,5,10,602,756,1
2,5,7,658,756,0
2,8,0,105,110,1
2,8,2,109,110,2
2,8,2,79,110,0
2,8,1,23,110,2
2,8,10,110,110,1
2,6,40,220,555,5
2,6,35,504,555,0
2,6,16,574,555,0
2,6,2,219,555,4
2,6,15,471,555,2
2,9,2,45,160,2
2,9,0,45,160,0
2,9,1,46,160,0
2,9,3,74,160,3
2,9,2,76,160,25
2,9,5,79,160,0
2,9,4,86,160,1
2,9,12,134,160,0
2,9,7,160,160,0
2,10,1,55,55,1
2,10,0,23,55,0
2,10,8,32,55,0
2,11,0,45,61,0
2,11,2,61,61,0
2,11,4,58,61,0
2,12,2,33,62,0
2,12,6,89,62,3
2,12,1,62,62,0
2,12,1,62,62,0
2,7,3,77,243,1
2,7,0,60,243,0
2,7,3,72,243,1
2,7,4,74,243,0
2,7,0,3,243,0
2,7,9,243,243,0
